Time ms,Process:PID,RSS KB
293,socat:8105,4
295,socat:8105,1864
297,socat:8105,2008
299,socat:8105,2008
300,socat:8105,2008
303,socat:8105,2008
305,socat:8105,2008
306,socat:8105,2008
308,socat:8105,2008
309,socat:8105,2008
311,socat:8105,2008
312,socat:8105,2008
313,socat:8105,2008
317,socat:8105,2008
319,socat:8105,2008
321,socat:8105,2008
323,socat:8105,2008
325,socat:8105,2008
327,socat:8105,2008
328,socat:8105,2008
330,socat:8105,2008
332,socat:8105,2008
334,socat:8105,2008
336,socat:8105,2008
338,socat:8105,2008
341,socat:8105,2008
343,socat:8105,2008
345,socat:8105,2008
347,socat:8105,2008
349,socat:8105,2008
351,socat:8105,2008
356,socat:8105,2008
359,socat:8105,2008
360,socat:8105,2008
363,socat:8105,2008
365,socat:8105,2008
379,socat:8105,2008
380,socat:8105,2008
383,socat:8105,2008
385,socat:8105,2008
386,socat:8105,2008
388,socat:8105,2008
392,socat:8105,2008
393,socat:8105,2008
395,socat:8105,2008
403,socat:8105,2008
407,socat:8105,2008
417,socat:8105,2008
422,socat:8105,2008
425,socat:8105,2008
428,socat:8105,2008
434,socat:8105,2008
440,socat:8105,2008
442,socat:8105,2008
444,socat:8105,2008
450,socat:8105,2008
452,socat:8105,2008
455,socat:8105,2008
457,socat:8105,2008
461,socat:8105,2008
467,socat:8105,2008
469,socat:8105,2008
472,socat:8105,2008
474,socat:8105,2008
477,socat:8105,2008
478,socat:8105,2008
481,socat:8105,2008
484,socat:8105,2008
488,socat:8105,2008
491,socat:8105,2008
492,socat:8105,2008
494,socat:8105,2008
497,socat:8105,2008
499,socat:8105,2008
501,socat:8105,2008
503,socat:8105,2008
506,socat:8105,2008
508,socat:8105,2008
510,socat:8105,2008
512,socat:8105,2008
514,socat:8105,2008
516,socat:8105,2008
519,socat:8105,2008
521,socat:8105,2008
525,socat:8105,2008
531,socat:8105,2008
536,socat:8105,2008
538,socat:8105,2008
540,socat:8105,2008
543,socat:8105,2008
544,socat:8105,2008
546,socat:8105,2008
548,socat:8105,2008
550,socat:8105,2008
551,socat:8105,2008
554,socat:8105,2008
556,socat:8105,2008
557,socat:8105,2008
559,socat:8105,2008
561,socat:8105,2008
563,socat:8105,2008
565,socat:8105,2008
566,socat:8105,2008
568,socat:8105,2008
570,socat:8105,2008
572,socat:8105,2008
577,socat:8105,2008
579,socat:8105,2008
580,socat:8105,2008
582,socat:8105,2008
584,socat:8105,2008
586,socat:8105,2008
588,socat:8105,2008
589,socat:8105,2008
591,socat:8105,2008
593,socat:8105,2008
595,socat:8105,2008
597,socat:8105,2008
598,socat:8105,2008
600,socat:8105,2008
602,socat:8105,2008
603,socat:8105,2008
606,socat:8105,2008
607,socat:8105,2008
609,socat:8105,2008
610,socat:8105,2008
612,socat:8105,2008
614,socat:8105,2008
616,socat:8105,2008
618,socat:8105,2008
621,socat:8105,2008
622,socat:8105,2008
624,socat:8105,2008
627,socat:8105,2008
628,socat:8105,2008
630,socat:8105,2008
632,socat:8105,2008
633,socat:8105,2008
637,socat:8105,2008
638,socat:8105,2008
640,socat:8105,2008
641,socat:8105,2008
643,socat:8105,2008
645,socat:8105,2008
647,socat:8105,2008
649,socat:8105,2008
650,socat:8105,2008
652,socat:8105,2008
653,socat:8105,2008
656,socat:8105,2008
